id,kode_provinsi,nama_provinsi,perangkat_daerah,jumlah_aplikasi,satuan,tahun
54,32,JAWA BARAT,BADAN PERENCANAAN PEMBANGUNAN DAERAH,16,ALAMAT WEB,2022
55,32,JAWA BARAT,BIRO BADAN USAHA DAN MILIK DAERAH,7,ALAMAT WEB,2022
56,32,JAWA BARAT,BIRO HUBUNGAN MASYARAKAT DAN PROTOKOL,4,ALAMAT WEB,2022
57,32,JAWA BARAT,BIRO HUKUM DAN HAK AZASI MANUSIA,3,ALAMAT WEB,2022
58,32,JAWA BARAT,BIRO ORGANISASI,6,ALAMAT WEB,2022
59,32,JAWA BARAT,BIRO PELAYANAN DAN PENGEMBANGAN SOSIAL,3,ALAMAT WEB,2022
60,32,JAWA BARAT,BIRO PEMERINTAHAN DAN KERJASAMA,9,ALAMAT WEB,2022
61,32,JAWA BARAT,BIRO PENGADAAN BARANG DAN JASA,8,ALAMAT WEB,2022
62,32,JAWA BARAT,BIRO PEREKONOMIAN,3,ALAMAT WEB,2022
63,32,JAWA BARAT,BIRO UMUM,9,ALAMAT WEB,2022
64,32,JAWA BARAT,DINAS BINA MARGA DAN PENATAAN RUANG,3,ALAMAT WEB,2022
65,32,JAWA BARAT,DINAS ENERGI DAN SUMBER DAYA MINERAL,5,ALAMAT WEB,2022
66,32,JAWA BARAT,DINAS KEHUTANAN,11,ALAMAT WEB,2022
67,32,JAWA BARAT,DINAS KELAUTAN DAN PERIKANAN,4,ALAMAT WEB,2022
68,32,JAWA BARAT,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,4,ALAMAT WEB,2022
69,32,JAWA BARAT,DINAS KESEHATAN,18,ALAMAT WEB,2022
70,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,9,ALAMAT WEB,2022
71,32,JAWA BARAT,DINAS KOMUNIKASI DAN INFORMATIKA,105,ALAMAT WEB,2022
72,32,JAWA BARAT,DINAS KOPERASI DAN USAHA KECIL,5,ALAMAT WEB,2022
73,32,JAWA BARAT,DINAS LINGKUNGAN HIDUP,8,ALAMAT WEB,2022
74,32,JAWA BARAT,DINAS PARIWISATA DAN KEBUDAYAAN,16,ALAMAT WEB,2022
75,32,JAWA BARAT,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,4,ALAMAT WEB,2022
76,32,JAWA BARAT,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERNCANA",8,ALAMAT WEB,2022
77,32,JAWA BARAT,DINAS PEMUDA DAN OLAHRAGA,11,ALAMAT WEB,2022
78,32,JAWA BARAT,DINAS PENANAMAN MODAL DAN PELAYANAN SATU PINTU,14,ALAMAT WEB,2022
79,32,JAWA BARAT,DINAS PENDIDIKAN,32,ALAMAT WEB,2022
80,32,JAWA BARAT,DINAS PERHUBUNGAN,5,ALAMAT WEB,2022
81,32,JAWA BARAT,DINAS PERINDUSTRIAN DAN PERDAGANGAN,13,ALAMAT WEB,2022
82,32,JAWA BARAT,DINAS PERKEBUNAN,11,ALAMAT WEB,2022
83,32,JAWA BARAT,DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,6,ALAMAT WEB,2022
84,32,JAWA BARAT,DINAS PERUMAHAN DAN PEMUKIMAN,9,ALAMAT WEB,2022
85,32,JAWA BARAT,DINAS SOSIAL,16,ALAMAT WEB,2022
86,32,JAWA BARAT,DINAS SUMBER DAYA AIR,14,ALAMAT WEB,2022
87,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURAL,4,ALAMAT WEB,2022
88,32,JAWA BARAT,DINAS TENAGA KERJA DAN TRANSMIGRASI,15,ALAMAT WEB,2022
89,32,JAWA BARAT,INSPEKTORAT,7,ALAMAT WEB,2022
90,32,JAWA BARAT,SATUAN POLISI PAMONG PRAJA,2,ALAMAT WEB,2022
91,32,JAWA BARAT,SEKRETARIS DPRD,5,ALAMAT WEB,2022
